size    pairing    result           total        search    clauses       conflicts 
264     B51-B81    SATISFIABLE      141.619s     1.42s     65807592      8245 
264     B26-C47    UNSATISFIABLE    141.340s     3.61s     65807592      35273 
264     B26-C80    UNSATISFIABLE    140.027s     3.29s     65807592      30496 
264     B26-C86    UNSATISFIABLE    143.356s     4.18s     65807592      39207 
264     B51-C47    UNSATISFIABLE    145.615s     4.01s     65807592      33849 
264     B51-C80    UNSATISFIABLE    142.769s     4.25s     65807592      37485 
264     B51-C86    UNSATISFIABLE    141.805s     3.80s     65807592      32986 
264     B81-C47    UNSATISFIABLE    144.315s     3.53s     65807592      28316 
264     B81-C80    UNSATISFIABLE    141.080s     3.30s     65807592      30864 
264     B81-C86    UNSATISFIABLE    139.179s     3.38s     65807592      32983 
264     C47-C80    SATISFIABLE      139.732s     2.48s     65807592      18889 
264     C47-C86    SATISFIABLE      138.521s     2.91s     65807592      22521 
264     C80-C86    SATISFIABLE      138.158s     1.88s     65807592      15135 
352     B49-B54    SATISFIABLE      374.714s     6.72s     156708064     34223 
352     B49-B98    SATISFIABLE      380.360s     7.68s     156708064     38267 
352     B54-B98    SATISFIABLE      387.728s     6.21s     156708064     30496 
352     B49-C00    UNSATISFIABLE    379.292s     11.83s    156708064     66753 
352     B49-C32    UNSATISFIABLE    383.929s     14.42s    156708064     85964 
352     B49-C98    UNSATISFIABLE    384.351s     14.46s    156708064     90083 
352     B54-C00    UNSATISFIABLE    391.097s     10.58s    156708064     69682 
352     B54-C32    UNSATISFIABLE    380.315s     11.18s    156708064     69916 
352     B54-C98    UNSATISFIABLE    391.107s     10.58s    156708064     65030 
352     B98-C00    UNSATISFIABLE    381.900s     10.55s    156708064     68459 
352     B98-C32    UNSATISFIABLE    384.794s     11.85s    156708064     82158 
352     B98-C98    UNSATISFIABLE    385.514s     11.13s    156708064     76809 
352     C00-C32    SATISFIABLE      384.620s     8.44s     156708064     45919 
352     C00-C98    SATISFIABLE      381.059s     9.50s     156708064     51873 
352     C32-C98    SATISFIABLE      399.930s     18.19s    156708064     112825 
440     B32-B41    SATISFIABLE      842.242s     16.72s    307745880     56092 
440     B32-B85    SATISFIABLE      846.223s     24.03s    307745880     97558 
440     B41-B85    SATISFIABLE      822.549s     15.90s    307745880     52127 
440     B32-C17    UNSATISFIABLE    828.400s     31.15s    307745880     132292 
440     B32-C76    UNSATISFIABLE    824.018s     28.63s    307745880     124904 
440     B32-C79    UNSATISFIABLE    836.383s     30.48s    307745880     130574 
440     B41-C17    UNSATISFIABLE    838.830s     36.21s    307745880     159638 
440     B41-C76    UNSATISFIABLE    834.742s     31.69s    307745880     136376 
440     B41-C79    UNSATISFIABLE    837.989s     37.68s    307745880     172121 
440     B85-C17    UNSATISFIABLE    838.358s     26.75s    307745880     121884 
440     B85-C76    UNSATISFIABLE    837.481s     31.01s    307745880     135286 
440     B85-C79    UNSATISFIABLE    824.427s     28.26s    307745880     129540 
440     C17-C76    SATISFIABLE      806.934s     14.26s    307745880     50806 
440     C17-C79    SATISFIABLE      832.818s     18.96s    307745880     74127 
440     C76-C79    SATISFIABLE      862.868s     40.67s    307745880     195965 
550     B00-B04    UNSATISFIABLE    1467.159s    0.00s     602575350     1 
550     B00-B80    UNSATISFIABLE    1424.958s    0.00s     602575350     1 
550     B04-B80    UNSATISFIABLE    1425.298s    0.00s     602575350     1 
550     B00-C27    UNSATISFIABLE    1445.255s    0.00s     602575350     1 
550     B00-C43    UNSATISFIABLE    1410.052s    0.00s     602575350     1 
550     B00-C70    UNSATISFIABLE    1456.411s    0.00s     602575350     1 
550     B04-C27    UNSATISFIABLE    1434.254s    0.00s     602575350     1 
550     B04-C43    UNSATISFIABLE    1431.797s    0.00s     602575350     1 
550     B04-C70    UNSATISFIABLE    1420.585s    0.00s     602575350     1 
550     B80-C27    UNSATISFIABLE    1437.137s    0.00s     602575350     1 
550     B80-C43    UNSATISFIABLE    1427.937s    0.00s     602575350     1 
550     B80-C70    UNSATISFIABLE    1412.361s    0.00s     602575350     1 
550     C27-C43    UNSATISFIABLE    1592.838s    0.00s     602575350     1 
550     C27-C70    UNSATISFIABLE    1464.332s    0.00s     602575350     1 
550     C43-C70    UNSATISFIABLE    1430.969s    0.00s     602575350     1 
660     B06-B07    UNSATISFIABLE    2768.681s    0.00s     1046039700    1 
660     B06-B54    UNSATISFIABLE    2710.003s    0.00s     1046039700    1 
660     B07-B54    UNSATISFIABLE    2700.501s    0.00s     1046039700    1 
660     C22-C62                                                          
